user_id,event_date,event_type,session_duration
1,2023-10-06,video_start,53
1,2023-07-09,video_start,87
1,2023-12-20,video_pause,50
1,2024-05-29,ad_view,104
2,2024-04-04,video_complete,110
2,2023-11-07,profile_view,15
2,2024-03-22,video_complete,88
2,2024-06-26,video_start,96
2,2023-09-13,profile_view,63
2,2023-12-12,profile_view,20
2,2023-11-05,video_start,76
2,2024-05-24,video_complete,51
2,2024-06-02,video_start,101
3,2023-11-12,video_pause,87
3,2023-11-21,search,100
3,2023-12-03,video_start,99
3,2023-04-13,ad_view,18
3,2024-01-14,search,63
3,2023-03-31,search,83
3,2023-08-27,ad_view,109
3,2024-01-29,video_start,48
3,2024-06-15,video_pause,8
3,2023-08-08,ad_view,41
3,2023-04-26,video_start,104
4,2023-02-06,video_pause,100
4,2024-02-21,video_pause,72
4,2024-06-20,video_start,114
4,2023-09-06,ad_view,82
4,2024-01-20,video_start,22
4,2023-12-20,search,58
5,2024-06-04,video_complete,84
5,2024-07-20,video_start,35
5,2024-06-01,profile_view,100
5,2024-07-17,video_complete,35
5,2024-06-27,search,87
5,2024-06-23,video_pause,81
5,2024-06-05,profile_view,92
5,2024-07-17,video_complete,31
5,2024-07-21,search,70
5,2024-07-03,video_start,6
5,2024-06-05,video_complete,107
5,2024-07-06,video_complete,58
5,2024-06-12,video_start,7
5,2024-07-19,video_pause,13
5,2024-06-16,video_complete,36
5,2024-06-25,video_start,13
5,2024-07-05,video_pause,21
5,2024-06-10,video_start,13
5,2024-06-16,profile_view,85
5,2024-07-06,video_complete,47
5,2024-07-21,video_complete,23
5,2024-06-03,profile_view,95
5,2024-06-13,video_start,113
5,2024-07-19,search,67
5,2024-06-08,search,29
5,2024-06-27,video_start,31
5,2024-07-05,profile_view,87
5,2024-07-13,video_start,84
5,2024-07-15,search,32
5,2024-07-18,search,77
6,2024-03-17,profile_view,76
6,2024-07-18,video_pause,83
6,2024-03-27,search,62
6,2023-10-25,video_start,6
6,2023-08-03,video_pause,17
7,2024-05-06,video_start,100
7,2024-04-10,search,117
7,2024-04-05,search,15
7,2024-05-29,video_complete,35
7,2024-06-14,video_pause,112
7,2024-07-14,video_start,102
7,2024-06-26,profile_view,108
7,2024-06-20,video_pause,14
7,2024-04-27,video_complete,59
7,2024-04-04,profile_view,48
8,2024-07-08,video_start,113
8,2024-07-16,video_start,80
8,2023-10-26,ad_view,47
9,2024-04-15,search,78
9,2024-06-09,video_pause,79
9,2024-05-01,ad_view,44
9,2024-04-28,video_start,77
9,2024-01-15,search,55
9,2024-06-23,video_start,31
9,2024-05-23,search,94
9,2023-12-10,search,97
9,2023-12-23,search,31
10,2023-10-13,search,14
10,2023-06-22,search,98
10,2024-06-12,search,119
10,2024-05-16,search,70
10,2023-08-05,video_start,48
10,2023-10-18,search,27
10,2023-12-05,video_start,26
10,2024-01-18,profile_view,62
10,2024-05-01,video_pause,106
10,2023-05-08,video_complete,94
10,2023-06-25,video_complete,88
10,2024-03-15,video_pause,86
10,2023-10-26,video_start,39
10,2023-09-14,search,114
10,2023-10-27,video_complete,64
10,2023-11-18,video_complete,94
10,2023-08-04,video_start,38
10,2024-03-28,video_start,10
10,2024-05-31,search,54
10,2024-05-17,video_start,88
10,2023-09-14,video_complete,81
10,2024-03-23,video_start,48
10,2023-07-19,video_pause,66
10,2023-08-09,video_start,77
10,2023-11-04,profile_view,95
10,2023-11-16,video_complete,114
10,2023-11-13,video_pause,62
10,2023-04-28,video_pause,50
10,2023-09-22,search,69
10,2024-01-29,search,76
10,2024-01-01,search,119
10,2023-04-26,video_complete,49
10,2024-01-22,profile_view,100
10,2023-08-11,video_start,4
10,2023-09-04,profile_view,29
10,2023-12-20,profile_view,118
10,2024-03-08,video_complete,52
10,2024-04-22,video_complete,89
10,2024-06-19,video_start,98
10,2023-10-08,profile_view,24
10,2024-05-01,video_complete,100
