user_id,registration_date,device_type,country,age_group
1,2023-04-25,mobile,Belarus,26-35
2,2023-08-17,mobile,Russia,55+
3,2023-03-31,tablet,Ukraine,18-25
4,2023-01-31,mobile,Kazakhstan,26-35
5,2024-06-01,tablet,Russia,55+
6,2023-07-23,tablet,Ukraine,26-35
7,2024-04-04,tablet,Belarus,18-25
8,2023-06-13,tablet,Ukraine,36-45
9,2023-10-12,mobile,Kazakhstan,36-45
10,2023-04-15,mobile,Ukraine,18-25
11,2024-01-03,desktop,Belarus,18-25
12,2024-04-15,tablet,Russia,46-55
13,2023-03-22,tablet,Belarus,55+
14,2024-01-06,tablet,Kazakhstan,18-25
15,2023-02-16,tablet,Kazakhstan,36-45
16,2023-03-23,mobile,Russia,46-55
17,2023-10-12,desktop,Belarus,26-35
18,2024-01-15,desktop,Kazakhstan,36-45
19,2023-03-15,tablet,Kazakhstan,55+
20,2023-09-08,mobile,Ukraine,46-55
21,2023-10-04,tablet,Kazakhstan,36-45
22,2023-02-27,mobile,Russia,36-45
23,2024-02-15,desktop,Russia,26-35
24,2023-11-19,mobile,Ukraine,46-55
25,2024-04-14,mobile,Belarus,26-35
26,2023-09-10,tablet,Belarus,55+
27,2024-03-14,tablet,Ukraine,36-45
28,2023-08-13,mobile,Ukraine,18-25
29,2023-02-18,mobile,Kazakhstan,26-35
30,2024-03-08,tablet,Russia,46-55
31,2024-01-26,tablet,Ukraine,55+
32,2023-09-15,tablet,Russia,18-25
33,2024-07-03,desktop,Belarus,18-25
34,2023-10-28,desktop,Kazakhstan,46-55
35,2023-01-04,tablet,Belarus,55+
36,2023-07-02,tablet,Russia,36-45
37,2024-06-03,tablet,Kazakhstan,26-35
38,2024-01-18,mobile,Russia,55+
39,2023-11-28,desktop,Russia,18-25
40,2024-01-07,desktop,Kazakhstan,18-25
41,2023-09-04,tablet,Russia,18-25
42,2024-05-12,mobile,Kazakhstan,26-35
43,2024-05-01,tablet,Kazakhstan,36-45
44,2024-06-24,tablet,Ukraine,26-35
45,2024-07-06,tablet,Kazakhstan,36-45
46,2024-02-13,tablet,Belarus,46-55
47,2024-06-13,desktop,Russia,26-35
48,2023-08-19,mobile,Belarus,18-25
49,2024-07-21,mobile,Kazakhstan,18-25
50,2023-03-14,tablet,Russia,26-35
51,2023-03-11,mobile,Belarus,18-25
52,2024-06-10,mobile,Belarus,46-55
53,2023-08-08,tablet,Kazakhstan,55+
54,2024-04-29,mobile,Ukraine,46-55
55,2023-07-14,mobile,Russia,46-55
56,2023-12-29,desktop,Ukraine,46-55
57,2023-02-25,tablet,Russia,18-25
58,2024-02-17,tablet,Belarus,18-25
59,2023-09-12,mobile,Kazakhstan,55+
60,2024-04-04,mobile,Ukraine,26-35
61,2023-10-13,desktop,Kazakhstan,18-25
62,2024-03-29,tablet,Russia,18-25
63,2024-07-07,mobile,Russia,26-35
64,2023-06-20,desktop,Ukraine,46-55
65,2023-08-07,desktop,Russia,26-35
66,2024-01-24,mobile,Ukraine,36-45
67,2024-04-10,desktop,Ukraine,55+
68,2024-05-13,mobile,Kazakhstan,36-45
69,2023-08-11,mobile,Russia,36-45
70,2023-02-28,mobile,Ukraine,55+
71,2024-06-27,mobile,Russia,55+
72,2023-03-24,mobile,Russia,55+
73,2023-03-11,tablet,Kazakhstan,46-55
74,2023-05-03,tablet,Kazakhstan,55+
75,2023-02-10,tablet,Russia,46-55
76,2024-06-19,desktop,Belarus,26-35
77,2023-11-18,mobile,Belarus,46-55
78,2023-05-15,tablet,Belarus,46-55
79,2023-11-20,mobile,Russia,46-55
80,2023-04-13,mobile,Kazakhstan,55+
81,2023-09-29,mobile,Belarus,18-25
82,2023-09-08,desktop,Belarus,26-35
83,2024-03-24,tablet,Belarus,55+
84,2024-06-25,mobile,Belarus,18-25
85,2023-05-18,desktop,Russia,18-25
86,2024-07-20,mobile,Belarus,36-45
87,2023-08-04,tablet,Belarus,26-35
88,2023-09-28,tablet,Ukraine,36-45
89,2023-02-22,mobile,Ukraine,36-45
90,2023-02-15,mobile,Belarus,26-35
91,2023-09-26,mobile,Ukraine,55+
92,2024-03-13,tablet,Russia,18-25
93,2023-03-19,tablet,Kazakhstan,55+
94,2023-02-06,desktop,Kazakhstan,46-55
95,2023-05-11,mobile,Belarus,36-45
96,2023-02-10,desktop,Kazakhstan,26-35
97,2023-04-16,desktop,Ukraine,55+
98,2023-06-08,mobile,Kazakhstan,26-35
99,2024-02-27,mobile,Kazakhstan,36-45
100,2024-02-26,tablet,Kazakhstan,36-45
101,2023-06-13,tablet,Russia,46-55
102,2023-02-09,desktop,Kazakhstan,26-35
103,2024-04-16,desktop,Belarus,26-35
104,2023-08-17,mobile,Kazakhstan,46-55
105,2023-12-03,desktop,Russia,36-45
106,2023-12-26,tablet,Ukraine,55+
107,2023-12-06,mobile,Russia,36-45
108,2023-07-02,tablet,Belarus,18-25
109,2023-04-22,tablet,Ukraine,36-45
110,2023-11-18,desktop,Russia,46-55
111,2023-07-14,desktop,Russia,46-55
112,2023-01-02,tablet,Kazakhstan,36-45
113,2024-03-17,mobile,Belarus,55+
114,2023-11-18,tablet,Russia,36-45
115,2024-06-03,desktop,Ukraine,36-45
116,2024-02-17,tablet,Belarus,55+
117,2023-05-11,mobile,Ukraine,46-55
118,2023-06-28,tablet,Belarus,46-55
119,2024-07-15,mobile,Belarus,36-45
120,2023-08-04,desktop,Belarus,46-55
121,2024-03-28,desktop,Kazakhstan,55+
122,2024-04-29,tablet,Kazakhstan,18-25
123,2023-10-18,tablet,Belarus,18-25
124,2023-08-29,tablet,Belarus,26-35
125,2023-07-23,mobile,Russia,18-25
126,2023-09-08,desktop,Russia,46-55
127,2024-02-29,tablet,Kazakhstan,46-55
128,2024-05-21,desktop,Kazakhstan,26-35
129,2023-01-06,mobile,Ukraine,26-35
